n,x,y
1,42.611089,5.969325
2,47.224684,6.016261
3,52.418224,6.719386
4,57.808394,10.235011
5,59.890068,13.311183
6,60.676305,16.035792
7,62.585394,17.881495
8,65.22498,19.287745
9,67.636841,19.370601
10,68.740742,21.166742
11,69.328604,22.22143
12,69.52976,23.803461
13,69.574299,25.781
14,69.395789,27.626703
15,68.831838,29.340571
16,68.281669,30.307367
17,67.416453,31.186274
18,66.91609,32.109125
19,66.72369,34.657953
20,66.820013,36.547602
21,67.487382,38.041742
22,68.304766,39.052485
23,69.552036,40.019281
24,71.202468,40.414789
25,72.751689,41.494613
26,74.394071,42.725081
27,74.808734,44.219222
28,75.290695,46.592269
29,75.907915,49.492659
30,76.754632,53.008284
31,76.545623,56.697793
32,76.299539,60.56498
33,76.015322,64.432168
34,76.051023,68.191235
35,76.580581,71.355297
36,77.337305,76.101391
37,77.269013,82.051129
38,77.132782,85.566754
39,76.299053,92.598004
40,74.994625,97.871441
41,73.466642,101.387066
42,69.619359,106.660504
43,67.227258,108.418316
44,65.274648,111.933941
45,62.584936,117.207379
46,60.620098,123.183941
47,60.620098,129.160504
48,60.620098,136.191754
49,59.262687,147.090191
50,56.189614,149.199566
51,52.67667,151.308941
52,48.404413,152.363629
53,45.597342,151.308941
54,42.094546,148.848004
55,39.98621,145.683941
56,38.760785,139.355816
57,36.557518,130.837826
58,36.871553,120.290951
59,38.737262,107.283138
60,38.286304,97.980874
61,36.727275,95.871499
62,33.222481,92.004312
63,29.291767,92.004312
64,26.279345,92.707437
65,21.847259,94.113687
66,18.386858,99.738687
67,17.690647,106.418374
68,16.644216,110.637124
69,13.141957,114.152749
70,8.924846,115.207437
71,5.414062,114.504312
72,3.664296,112.746499
73,1.572523,107.473062
74,1.224915,100.793374
75,1.224915,93.410562
76,4.363583,86.379312
77,8.573367,78.996499
78,23.903476,74.074624
79,28.293319,69.152749
80,29.291767,59.308999
81,27.959204,55.441812
82,25.26438,48.762124
83,23.561964,46.652749
84,20.813141,45.246499
85,18.734503,37.863687
86,18.386858,26.262124
87,19.775446,18.176187
88,25.94159,13.957437
89,32.249764,10.090249
90,37.73546,6.23511
